plot;rules_1;rules_person;condition_rules;select_gor;select_gor2
set1h1_true_p210;set1h1_true;set1h1_true_person;condition_p210;supp_set1_h1_val_1;supp_set1_h1_val_0
set1h1_true_p215;set1h1_true;set1h1_true_person;condition_p215;supp_set1_h1_val_1;supp_set1_h1_val_0
set1h1_true_p2175;set1h1_true;set1h1_true_person;condition_p2175;supp_set1_h1_val_1;supp_set1_h1_val_0
set1h1_false_p1515;set1h1_false;set1h1_false_person;condition_p1515;supp_set1_h1_val_0;supp_set1_h1_val_1
set2h0_true_p1515;set2h0_true;set2h0_true_person;condition_p1515;supp_set2_h0_val_1;supp_set2_h0_val_0
set2h1_true_p210;set2h1_true;set2h1_true_person;condition_p210;supp_set2_h1_val_1;supp_set2_h1_val_0
set2h1_true_p215;set2h1_true;set2h1_true_person;condition_p215;supp_set2_h1_val_1;supp_set2_h1_val_0
set2h1_true_p2175;set2h1_true;set2h1_true_person;condition_p2175;supp_set2_h1_val_1;supp_set2_h1_val_0
set3ha1_true_p215;set3ha1_true;set3ha1_true_person;condition_p215;supp_set3_ha1_val_1;supp_set3_ha1_val_0
set3ha1_true_p1515;set3ha1_true;set3ha1_true_person;condition_p1515;supp_set3_ha1_val_1;supp_set3_ha1_val_0
set3ha1_true_p2175;set3ha1_true;set3ha1_true_person;condition_p2175;supp_set3_ha1_val_1;supp_set3_ha1_val_0
set3ha1_false_p210;set3ha1_false;set3ha1_false_person;condition_p210;supp_set3_ha1c_val_0;supp_set3_ha1c_val_1
set3ha1c_true_p210;set3ha1c_true;set3ha1c_true_person;condition_p210;supp_set3_ha1c_val_1;supp_set3_ha1c_val_0
set4ha2_true_p1515;set4ha2_true;set4ha2_true_person;condition_p1515;supp_set4_ha2_val_1;supp_set4_ha2_val_0
set4ha2c_true_p210;set4ha2c_true;set4ha2c_true_person;condition_p210;supp_set4_ha2c_val_1;supp_set4_ha2c_val_0
set4ha2c_true_p215;set4ha2c_true;set4ha2c_true_person;condition_p215;supp_set4_ha2c_val_1;supp_set4_ha2c_val_0
set4ha2c_true_p2175;set4ha2c_true;set4ha2c_true_person;condition_p2175;supp_set4_ha2c_val_1;supp_set4_ha2c_val_0
set4ha2_false_p210;set4ha2_false;set4ha2_false_person;condition_p210;supp_set4_ha2c_val_0;supp_set4_ha2c_val_1
set4ha2_false_p215;set4ha2_false;set4ha2_false_person;condition_p215;supp_set4_ha2c_val_0;supp_set4_ha2c_val_1
set4ha2_false_p2175;set4ha2_false;set4ha2_false_person;condition_p2175;supp_set4_ha2c_val_0;supp_set4_ha2c_val_1
set3bound_true_p215;set3bound_true;set3bound_true_person;condition_p215;bound_supp_set3_val_1;bound_supp_set3_val_0
set1bound_true_p1515;set1bound_true;set1bound_true_person;condition_p1515;bound_supp_set1_val_1;bound_supp_set1_val_0
set1bound_false_p215;set1bound_false;set1bound_false_person;condition_p215;bound_supp_set1_val_1;bound_supp_set1_val_0
set1bound_false_p2175;set1bound_false;set1bound_false_person;condition_p2175;bound_supp_set1_val_1;bound_supp_set1_val_0
set1bound_false_p210;set1bound_false;set1bound_false_person;condition_p210;bound_supp_set1_val_1;bound_supp_set1_val_0
set2bound_true_p1515;set2bound_true;set2bound_true_person;condition_p1515;bound_supp_set2_val_1;bound_supp_set2_val_0
set2bound_false_p215;set2bound_false;set2bound_false_person;condition_p215;bound_supp_set2_val_1;bound_supp_set2_val_0
set2bound_false_p2175;set2bound_false;set2bound_false_person;condition_p2175;bound_supp_set2_val_1;bound_supp_set2_val_0
set2bound_false_p210;set2bound_false;set2bound_false_person;condition_p210;bound_supp_set2_val_1;bound_supp_set2_val_0
set3bound_false_p1515;set3bound_false;set3bound_false_person;condition_p1515;bound_supp_set3_val_1;bound_supp_set3_val_0
set3bound_false_p2175;set3bound_false;set3bound_false_person;condition_p2175;bound_supp_set3_val_1;bound_supp_set3_val_0
set3bound_false_p210;set3bound_false;set3bound_false_person;condition_p210;bound_supp_set3_val_1;bound_supp_set3_val_0
set4bound_false_p1515;set4bound_false;set4bound_false_person;condition_p1515;bound_supp_set4_val_1;bound_supp_set4_val_0
set4bound_false_p215;set4bound_false;set4bound_false_person;condition_p215;bound_supp_set4_val_1;bound_supp_set4_val_0
set4bound_false_p2175;set4bound_false;set4bound_false_person;condition_p2175;bound_supp_set4_val_1;bound_supp_set4_val_0
set4bound_false_p210;set4bound_false;set4bound_false_person;condition_p210;bound_supp_set4_val_1;bound_supp_set4_val_0
set1h1_true_p210_adj;set1h1_true;set1h1_true_person;condition_p210;supp_set1_h1_adj_val_1;supp_set1_h1_adj_val_0
set1h1_true_p215_adj;set1h1_true;set1h1_true_person;condition_p215;supp_set1_h1_adj_val_1;supp_set1_h1_adj_val_0
set1h1_true_p2175_adj;set1h1_true;set1h1_true_person;condition_p2175;supp_set1_h1_adj_val_1;supp_set1_h1_adj_val_0
set1h1_false_p1515_adj;set1h1_false;set1h1_false_person;condition_p1515;supp_set1_h1_adj_val_0;supp_set1_h1_adj_val_1
set2h1_true_p210_adj;set2h1_true;set2h1_true_person;condition_p210;supp_set2_h1_adj_val_1;supp_set2_h1_adj_val_0
set2h1_true_p215_adj;set2h1_true;set2h1_true_person;condition_p215;supp_set2_h1_adj_val_1;supp_set2_h1_adj_val_0
set2h1_true_p2175_adj;set2h1_true;set2h1_true_person;condition_p2175;supp_set2_h1_adj_val_1;supp_set2_h1_adj_val_0
set2h0_true_p1515_adj;set2h0_true;set2h0_true_person;condition_p1515;supp_set2_h0_adj_val_1;supp_set2_h0_adj_val_0
set3ha1_true_p215_adj;set3ha1_true;set3ha1_true_person;condition_p215;supp_set3_ha1_adj_val_1;supp_set3_ha1_adj_val_0
set3ha1_true_p1515_adj;set3ha1_true;set3ha1_true_person;condition_p1515;supp_set3_ha1_adj_val_1;supp_set3_ha1_adj_val_0
set3ha1_true_p2175_adj;set3ha1_true;set3ha1_true_person;condition_p2175;supp_set3_ha1_adj_val_1;supp_set3_ha1_adj_val_0
set3ha1_false_p210_adj;set3ha1_false;set3ha1_false_person;condition_p210;supp_set3_ha1c_adj_val_0;supp_set3_ha1c_adj_val_1
set3ha1c_true_p210_adj;set3ha1c_true;set3ha1c_true_person;condition_p210;supp_set3_ha1c_adj_val_1;supp_set3_ha1c_adj_val_0
set4ha2_true_p1515_adj;set4ha2_true;set4ha2_true_person;condition_p1515;supp_set4_ha2_adj_val_1;supp_set4_ha2_adj_val_0
set4ha2c_true_p210_adj;set4ha2c_true;set4ha2c_true_person;condition_p210;supp_set4_ha2c_adj_val_1;supp_set4_ha2c_adj_val_0
set4ha2c_true_p215_adj;set4ha2c_true;set4ha2c_true_person;condition_p215;supp_set4_ha2c_adj_val_1;supp_set4_ha2c_adj_val_0
set4ha2c_true_p2175_adj;set4ha2c_true;set4ha2c_true_person;condition_p2175;supp_set4_ha2c_adj_val_1;supp_set4_ha2c_adj_val_0
set4ha2_false_p210_adj;set4ha2_false;set4ha2_false_person;condition_p210;supp_set4_ha2c_adj_val_0;supp_set4_ha2c_adj_val_1
set4ha2_false_p215_adj;set4ha2_false;set4ha2_false_person;condition_p215;supp_set4_ha2c_adj_val_0;supp_set4_ha2c_adj_val_1
set4ha2_false_p2175_adj;set4ha2_false;set4ha2_false_person;condition_p2175;supp_set4_ha2c_adj_val_1;supp_set4_ha2c_adj_val_0
